gx,gy,wala,wac,g_hat,f_true
0.025,0.225,1.5,3.725,-732.9943792,-115.8367379
0.025,0.2416666667,1.5,3.808333333,-726.5580397,-106.7263058
0.025,0.2583333333,1.5,3.891666667,-719.8387949,-94.19239178
0.025,0.275,1.5,3.975,-712.8366448,-78.87151634
0.025,0.2916666667,1.5,4.058333333,-743.4978597,-62.45075742
0.025,0.3083333333,1.5,4.141666667,-774.1590746,-47.72488494
0.025,0.325,1.5,4.225,-804.8202895,-37.97458489
0.025,0.3416666667,1.5,4.308333333,-835.4815043,-35.72093911
0.025,0.3583333333,1.5,4.391666667,-866.1427192,-41.52895231
0.025,0.375,1.5,4.475,-896.8039341,-53.71634533
0.025,0.3916666667,1.5,4.558333333,-829.5069359,-69.19494021
0.025,0.4083333333,1.5,4.641666667,-762.2099377,-84.80635109
0.025,0.425,1.5,4.725,-694.9129394,-98.29323424
0.025,0.4416666667,1.5,4.808333333,-627.6159412,-108.5439788
0.025,0.4583333333,1.5,4.891666667,-560.318943,-115.3112531
0.025,0.475,1.5,4.975,-493.0219448,-118.7779362
0.025,0.4916666667,1.5,5.058333333,-487.6338562,-119.2093582
0.025,0.5083333333,1.5,5.141666667,-481.6701422,-116.7533146
0.025,0.525,1.5,5.225,-475.1308026,-111.3627056
0.025,0.5416666667,1.5,5.308333333,-427.4949432,-102.8137319
0.025,0.5583333333,1.5,5.391666667,-379.8590838,-90.82711198
0.025,0.575,1.5,5.475,-378.015341,-75.32571555
0.025,0.5916666667,1.5,5.558333333,-376.1715982,-56.83207953
0.025,0.6083333333,1.5,5.641666667,-302.9254765,-36.88218167
0.025,0.625,1.5,5.725,-204.0690925,-18.14507043
0.025,0.6416666667,1.5,5.808333333,-237.2156585,-3.892372943
0.025,0.6583333333,1.5,5.891666667,-205.7366091,3.196037644
0.025,0.675,1.5,5.975,-87.24363786,2.283884681
0.025,0.6916666667,1.5,6.058333333,-4.566901651,-5.190157067
0.025,0.7083333333,1.5,6.141666667,-51.72717695,-16.23718473
0.025,0.725,1.5,6.225,-98.88745224,-27.64403442
0.025,0.7416666667,1.5,6.308333333,-63.20115002,-37.02167993
0.025,0.7583333333,1.5,6.391666667,21.08238206,-43.13575493
