x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.84375,0.796875,325.6816228,0.859375,0.796875,326.0512879,0.84375,0.8125,325.8412895,4
0.84375,0.796875,325.6816228,0.84375,0.78125,308.71344,0.859375,0.796875,326.0512879,80
0.875,0.796875,339.7817275,0.859375,0.796875,326.0512879,0.875,0.78125,336.1743191,5
0.875,0.796875,339.7817275,0.875,0.8125,343.3891359,0.859375,0.796875,326.0512879,4
0.84375,0.921875,379.2726828,0.859375,0.921875,394.2564269,0.84375,0.9375,370.0342849,89
0.84375,0.921875,379.2726828,0.84375,0.90625,388.5110806,0.859375,0.921875,394.2564269,2
0.859375,0.9375,371.8132463,0.859375,0.921875,394.2564269,0.875,0.9375,373.5922078,113
0.859375,0.9375,371.8132463,0.84375,0.9375,370.0342849,0.859375,0.921875,394.2564269,116
0.90625,0.9375,490.5893628,0.90625,0.96875,510.2865408,0.875,0.9375,373.5922078,2
0.90625,0.9375,490.5893628,0.9375,0.9375,607.5865179,0.90625,0.96875,510.2865408,0
0.875,0.96875,393.2893858,0.90625,0.96875,510.2865408,0.875,1,412.9865638,3
0.875,0.96875,393.2893858,0.875,0.9375,373.5922078,0.90625,0.96875,510.2865408,6
0.859375,0.953125,392.3661253,0.875,0.96875,393.2893858,0.84375,0.96875,411.1400428,8
0.859375,0.953125,392.3661253,0.875,0.9375,373.5922078,0.875,0.96875,393.2893858,4
0.859375,0.9375,371.8132463,0.859375,0.953125,392.3661253,0.875,0.9375,373.5922078,0
0.859375,0.9375,371.8132463,0.84375,0.9375,370.0342849,0.859375,0.953125,392.3661253,0
0.6875,0.734375,234.3614007,0.703125,0.734375,240.4769129,0.6875,0.75,232.7446779,0
0.6875,0.734375,234.3614007,0.6875,0.71875,235.9781235,0.703125,0.734375,240.4769129,5
0.6875,0.734375,234.3614007,0.671875,0.734375,246.2439828,0.6875,0.75,232.7446779,0
0.6875,0.734375,234.3614007,0.6875,0.71875,235.9781235,0.671875,0.734375,246.2439828,1
0.671875,0.71875,218.6193819,0.671875,0.734375,246.2439828,0.6875,0.71875,235.9781235,26
0.671875,0.71875,218.6193819,0.65625,0.71875,259.7432876,0.671875,0.734375,246.2439828,150
0.609375,0.796875,250.5831735,0.59375,0.8125,237.8144376,0.59375,0.78125,214.3462859,14
0.609375,0.796875,250.5831735,0.625,0.8125,277.5830272,0.59375,0.8125,237.8144376,0
0.59375,0.8125,237.8144376,0.59375,0.84375,201.2842035,0.625,0.8125,277.5830272,0
0.59375,0.8125,237.8144376,0.5625,0.8125,198.045848,0.59375,0.84375,201.2842035,0
0.5625,0.875,205.0015677,0.5625,0.9375,212.2185687,0.5,0.875,205.4805763,0
0.5625,0.875,205.0015677,0.625,0.875,204.5225591,0.5625,0.9375,212.2185687,2
0.59375,0.84375,201.2842035,0.5625,0.875,205.0015677,0.625,0.875,204.5225591,2
0.59375,0.84375,201.2842035,0.5625,0.8125,198.045848,0.5625,0.875,205.0015677,1
0.90625,0.640625,252.0759408,0.921875,0.640625,254.6522653,0.90625,0.625,230.2834177,2
0.90625,0.640625,252.0759408,0.90625,0.65625,273.8684638,0.921875,0.640625,254.6522653,237
