active,calibration_rounds,candidate_opportunities,condition,deep_faces_global,faces,gate_admissions,gate_deep_window,gate_window,global_spatial_rms_centi,lindsey_fallbacks,lindsey_statuses,lindsey_valid_rounds,max_rounds,methods,mode,parent_scale,round_admitted_prefix,runtime,seed,stages,vertices,window_deep_faces,window_faces,window_nonquad_rms_centi
168,6,923,flat_p78_heavytail,176,302,30,0,4,12.57663588133005,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,41,1.82,3,3,637,25,31,6.138402924234115
81,6,627,flat_p50_clean,0,128,0,0,0,0.2885053813152112,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.45,1,3,289,0,6,0.05857644083503477
134,6,832,flat_p78_gauss_equaln,104,232,14,0,0,1.6034246646148267,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,15,1.6,1,3,499,0,6,0.2203196406580268
134,6,833,flat_p78_corr01,96,233,17,0,0,7.936968998663477,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,22,2.55,2,3,500,2,9,2.6855391541129143
101,6,785,flat_p78_gauss,32,167,7,0,0,7.196324364355175,1,"{""nonconverged"": 1, ""valid"": 5}",5,3,"{""BH-fallback"": 1, ""lindsey"": 5}",baseline,0.25,9,1.92,2,3,368,0,6,2.28502630182399
136,6,828,flat_p78_gauss,108,237,17,0,0,9.805551732993408,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,25,1.92,1,3,508,0,8,6.659779460192047
81,6,624,flat_p78_heavytail,0,128,0,0,0,6.334928567989183,0,"{""empty-input"": 6}",0,3,"{""permutation-BH"": 6}",perm_bh,0.25,0,2.09,1,3,289,0,6,2.0344371642153756
93,6,810,flat_p50_clean,20,152,4,0,1,0.30783248766227295,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline,0.25,7,2.36,1,3,337,2,9,0.09928507722018351
95,6,812,flat_p50_clean,18,155,4,0,0,0.147118210861869,1,"{""nonconverged"": 1, ""valid"": 5}",5,3,"{""BH-fallback"": 1, ""lindsey"": 5}",baseline,0.25,8,2.32,4,3,344,0,6,0.03096102346071636
123,6,694,flat_p78_corr01,80,212,12,0,0,9.390033608777895,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,18,1.94,1,3,457,0,8,6.44687000971863
136,6,701,flat_p78_heavytail,110,236,17,0,0,7.219040896501797,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,26,1.9,0,3,507,0,8,1.9423968203059323
134,6,699,flat_p78_corr01,103,232,15,0,2,8.876275661159632,0,"{""valid"": 6}",6,3,"{""lindsey"": 6}",baseline_k4,0.25,20,1.87,0,3,499,11,17,4.368733065076737
