event,stage,round,sweep,phase,kind,id,x,y,depth,gate,old_h,proposal_h,post_h,mu_lin,mu_prior,raw_beta,xTx,xTr,n_points,fit_points,lambda,sigma_sq,loss,parent0,parent1,p0h,p1h,clamped
52,1,2,-1,gate_activate,post_activate,1372,0.015625,0.21875,6,1,-29.152763363655804,-203.83367806795073,-203.83367806795073,-334.27284688480614,-334.27284688480614,18.317147127828921,0.0021306100062597126,0.039026696956683656,239,118,8.1952159381793439e-05,1990.9939908952038,0,1349,1327,-680.40249491280736,11.856801143195121,0
53,1,3,-1,gate_promote,pre_promote,1357,0.015625,0.234375,6,0,15.282992114607016,-17.458059744808995,15.282992114607016,15.282992114607016,15.282992114607016,29.545431412945572,0.12243413469612677,3.6173693292677531,1587,796,0,8.1676568587831522,0,1327,1051,10.657573536359061,19.908410692854968,0
54,1,3,-1,gate_promote,post_promote,1357,0.015625,0.234375,6,1,15.282992114607016,-17.458059744808995,-17.458059744808995,15.282992114607016,15.282992114607016,29.545431412945572,0.12243413469612677,3.6173693292677531,1587,796,0.00035940921615267371,12.146409041722379,0,1327,1051,10.657573536359061,19.908410692854968,0
55,1,3,-1,gate_activate,pre_activate,1421,0.0234375,0.21875,7,0,-161.20802287080551,-131.13950952878909,-107.18851301238492,-107.18851301238492,-107.18851301238492,-190.28979426335982,0.00014238674552460875,-0.02709474451170717,27,16,0,34622.193877991594,0,1372,1327,-225.03459956112889,10.657573536359061,0
56,1,3,-1,gate_activate,post_activate,1421,0.0234375,0.21875,7,1,-161.20802287080551,-131.13950952878909,-131.13950952878909,-107.18851301238492,-107.18851301238492,-190.28979426335982,0.00014238674552460875,-0.02709474451170717,27,16,0.00035940921615267371,9389.6604568077692,0,1372,1327,-225.03459956112889,10.657573536359061,0
57,1,3,-1,gate_promote,pre_promote,1404,0.015625,0.25,6,0,18.547947830857559,24.87808382557391,18.547947830857559,18.547947830857559,18.547947830857559,72.067212616459699,0.07908588598714987,5.699499360397021,1099,559,0,12.644481218336269,0,1051,1358,19.908410692854968,17.187484968860154,0
58,1,3,-1,gate_promote,post_promote,1404,0.015625,0.25,6,1,18.547947830857559,24.87808382557391,24.87808382557391,18.547947830857559,18.547947830857559,72.067212616459699,0.07908588598714987,5.699499360397021,1099,559,0.00035940921615267371,17.500804692888767,0,1051,1358,19.908410692854968,17.187484968860154,0
59,1,3,-1,gate_promote,pre_promote,1394,0.0234375,0.2265625,7,0,-3.400243104224967,114.95616661949852,-3.400243104224967,-3.400243104224967,-3.400243104224967,81.992181531121958,0.0022453407095545282,0.18410038305701307,193,97,0,445.36670793199949,0,1327,1357,10.657573536359061,-17.458059744808995,0
60,1,3,-1,gate_promote,post_promote,1394,0.0234375,0.2265625,7,1,-3.400243104224967,114.95616661949852,114.95616661949852,-3.400243104224967,-3.400243104224967,81.992181531121958,0.0022453407095545282,0.18410038305701307,193,97,0.00035940921615267371,307.39096351316817,0,1327,1357,10.657573536359061,-17.458059744808995,0
61,1,4,-1,gate_activate,pre_activate,1484,0.01171875,0.23828125,8,0,16.439346759169005,-466.85645220903626,-266.81030192286948,-266.81030192286948,-266.81030192286948,-123.97437842384436,0.011378388685904864,-1.4106286647999586,220,115,0,468.23677481178424,0,1357,1396,-63.315811049547811,-470.30479279619112,0
62,1,4,-1,gate_activate,post_activate,1484,0.01171875,0.23828125,8,1,16.439346759169005,-466.85645220903626,-466.85645220903626,-266.81030192286948,-266.81030192286948,-123.97437842384436,0.011378388685904864,-1.4106286647999586,220,115,0.00013761761557311289,710.96303643573822,0,1357,1396,-63.315811049547811,-470.30479279619112,0
63,1,4,-1,gate_activate,pre_activate,1491,0.01171875,0.24609375,8,0,18.071824617294276,-151.3145445956946,-219.01296980254097,-219.01296980254097,-219.01296980254097,-54.023913521591361,0.012734437465714928,-0.6879641483938963,186,93,0,1.0000000000000001e+300,0,1396,1404,-470.30479279619112,32.278853191109185,0
64,1,4,-1,gate_activate,post_activate,1491,0.01171875,0.24609375,8,1,18.071824617294276,-151.3145445956946,-151.3145445956946,-219.01296980254097,-219.01296980254097,-54.023913521591361,0.012734437465714928,-0.6879641483938963,186,93,0.00013761761557311289,179.08765819553966,0,1396,1404,-470.30479279619112,32.278853191109185,0
65,1,4,-1,gate_promote,pre_promote,1327,0.03125,0.21875,5,0,49.903553059068742,-33.481015023531114,49.903553059068742,49.903553059068742,49.903553059068742,-200.53572651443645,0.0002827914905015271,-0.056709796999824091,27,13,0,3536.1742965692242,0,1118,1051,33.748981219822575,66.058124898314915,0
66,1,4,-1,gate_promote,post_promote,1327,0.03125,0.21875,5,1,49.903553059068742,-33.481015023531114,-33.481015023531114,49.903553059068742,49.903553059068742,-187.34563754285156,0.0002827914905015271,-0.052979752079701847,27,13,0.00017567628304128544,185.95614938341754,0,1118,1051,33.748981219822575,66.058124898314915,0
67,1,5,-1,gate_activate,pre_activate,1604,0.01171875,0.2421875,8,0,-242.91163586270523,-292.63024724942494,-224.1417019749309,-224.1417019749309,-224.1417019749309,56.115754648082508,0.0019857987198417578,0.11143459374311641,87,46,5.6429893220046435e-05,503.57570986836316,0,1490,1396,-21.014968656756182,-427.2684352931056,0
68,1,5,-1,gate_activate,post_activate,1604,0.01171875,0.2421875,8,1,-242.91163586270523,-292.63024724942494,-292.63024724942494,-224.1417019749309,-224.1417019749309,56.115754648082508,0.0019857987198417578,0.11143459374311641,87,46,5.6429893220046435e-05,9291.8341101072947,0,1490,1396,-21.014968656756182,-427.2684352931056,0
69,1,5,-1,gate_activate,pre_activate,1596,0.009765625,0.240234375,9,0,-368.5575473595303,-227.10917173176543,-451.5882553945446,-451.5882553945446,-451.5882553945446,717.19077269971751,0.00033031549216884677,0.23689922306326272,43,24,0,1.0000000000000001e+300,0,1484,1396,-475.90807549598367,-427.2684352931056,0
70,1,5,-1,gate_activate,post_activate,1596,0.009765625,0.240234375,9,1,-368.5575473595303,-227.10917173176543,-227.10917173176543,-451.5882553945446,-451.5882553945446,717.19077269971751,0.00033031549216884677,0.23689922306326272,43,24,5.6429893220046435e-05,66995.506549825994,0,1484,1396,-475.90807549598367,-427.2684352931056,0
71,1,5,-1,gate_activate,pre_activate,1617,0.009765625,0.244140625,9,0,-344.65888129936604,-341.57437173291862,-282.66050824294456,-282.66050824294456,-282.66050824294456,263.96065379625054,0.00072911918768616964,0.19245877747703244,62,31,0,1.0000000000000001e+300,0,1396,1491,-427.2684352931056,-138.05258119278349,0
72,1,5,-1,gate_activate,post_activate,1617,0.009765625,0.244140625,9,1,-344.65888129936604,-341.57437173291862,-341.57437173291862,-282.66050824294456,-282.66050824294456,263.96065379625054,0.00072911918768616964,0.19245877747703244,62,31,5.6429893220046435e-05,34444.97978283032,0,1396,1491,-427.2684352931056,-138.05258119278349,0
73,1,5,-1,gate_activate,pre_activate,1605,0.013671875,0.240234375,9,0,-141.16439042604441,-291.28176329095453,-248.46152207636993,-248.46152207636993,-248.46152207636993,-95.911762601008661,0.026431660301262899,-2.5351071279652322,47,27,0,6610.8459547306711,0,1484,1490,-475.90807549598367,-21.014968656756182,0
74,1,5,-1,gate_activate,post_activate,1605,0.013671875,0.240234375,9,1,-141.16439042604441,-291.28176329095453,-291.28176329095453,-248.46152207636993,-248.46152207636993,-95.911762601008661,0.026431660301262899,-2.5351071279652322,47,27,5.6429893220046435e-05,293.25861703113293,0,1484,1490,-475.90807549598367,-21.014968656756182,0
75,1,5,-1,gate_promote,pre_promote,1603,0.015625,0.23828125,8,0,-37.118187388860633,-81.601782679665007,-37.118187388860633,-37.118187388860633,-37.118187388860633,281.62563688643422,0.0071475923765888863,2.0129452552614673,109,54,0,1.0000000000000001e+300,0,1490,1357,-21.014968656756182,-53.221406120965085,0
76,1,5,-1,gate_promote,post_promote,1603,0.015625,0.23828125,8,1,-37.118187388860633,-81.601782679665007,-81.601782679665007,-37.118187388860633,-37.118187388860633,281.62563688643422,0.0071475923765888863,2.0129452552614673,109,54,5.6429893220046435e-05,744.36689711529982,0,1490,1357,-21.014968656756182,-53.221406120965085,0
77,1,6,-1,gate_activate,pre_activate,1619,0.013671875,0.248046875,9,0,-93.367058305715886,-139.26241585648941,-139.25493294765505,-139.25493294765505,-139.25493294765505,-218.97274848365763,0.00029739915366097533,-0.065122310073857395,36,18,0,29634.520052706983,0,1491,1404,-271.62944275593765,-6.8804231393724464,0
78,1,6,-1,gate_activate,post_activate,1619,0.013671875,0.248046875,9,1,-93.367058305715886,-139.26241585648941,-139.26241585648941,-139.25493294765505,-139.25493294765505,-218.97274848365763,0.00029739915366097533,-0.065122310073857395,36,18,4,5354.2507999530153,0,1491,1404,-271.62944275593765,-6.8804231393724464,0
79,1,6,-1,gate_activate,pre_activate,1751,0.013671875,0.23828125,9,0,-256.51313144242215,-258.08631311872904,-258.09711767703465,-258.09711767703465,-258.09711767703465,95.697264674813482,0.00064675984494648941,0.061893148062885525,24,12,0,1.0000000000000001e+300,0,1603,1484,-236.19327001704841,-280.00096533702089,0
80,1,6,-1,gate_activate,post_activate,1751,0.013671875,0.23828125,9,1,-256.51313144242215,-258.08631311872904,-258.08631311872904,-258.09711767703465,-258.09711767703465,95.697264674813482,0.00064675984494648941,0.061893148062885525,24,12,4,10099.021033883933,0,1603,1484,-236.19327001704841,-280.00096533702089,0
81,1,6,-1,gate_activate,pre_activate,1663,0.01171875,0.240234375,9,0,-350.0248887354573,-239.53749565826837,-239.53976834133525,-239.53976834133525,-239.53976834133525,167.39456105631226,0.00048315213420505314,0.080877039428675343,25,13,4,2069.741452441961,0,1604,1484,-199.07857134564961,-280.00096533702089,0
82,1,6,-1,gate_activate,post_activate,1663,0.01171875,0.240234375,9,1,-350.0248887354573,-239.53749565826837,-239.53749565826837,-239.53976834133525,-239.53976834133525,167.39456105631226,0.00048315213420505314,0.080877039428675343,25,13,4,28899.022819078324,0,1604,1484,-199.07857134564961,-280.00096533702089,0
83,1,6,-1,gate_activate,pre_activate,1691,0.0107421875,0.2451171875,10,0,-210.35654471786404,-267.02832473200982,-267.02849974643141,-267.02849974643141,-267.02849974643141,8.1736914804519802,4.636416532056268e-06,3.7896638307895036e-05,13,5,0,1.0000000000000001e+300,0,1617,1491,-262.42755673692517,-271.62944275593765,0
84,1,6,-1,gate_activate,post_activate,1691,0.0107421875,0.2451171875,10,1,-210.35654471786404,-267.02832473200982,-267.02832473200982,-267.02849974643141,-267.02849974643141,8.1736914804519802,4.636416532056268e-06,3.7896638307895036e-05,13,5,4,406245.60852069908,0,1617,1491,-262.42755673692517,-271.62944275593765,0
85,1,6,-1,gate_activate,pre_activate,1690,0.0087890625,0.2451171875,10,0,-236.15130709898864,-241.21613110932066,-241.21592037862368,-241.21592037862368,-241.21592037862368,-534.04853625005467,1.3575120215377618e-05,-0.007249773080440944,22,11,0,1.0000000000000001e+300,0,1617,1616,-262.42755673692517,-220.00428402032219,0
86,1,6,-1,gate_activate,post_activate,1690,0.0087890625,0.2451171875,10,1,-236.15130709898864,-241.21613110932066,-241.21613110932066,-241.21592037862368,-241.21592037862368,-534.04853625005467,1.3575120215377618e-05,-0.007249773080440944,22,11,4,17987.853510249297,0,1617,1616,-262.42755673692517,-220.00428402032219,0
87,1,6,-1,gate_promote,pre_promote,1665,0.01171875,0.244140625,9,0,-235.35400705079363,-235.35604393078273,-235.35400705079363,-235.35400705079363,-235.35400705079363,-49.465478795602436,0.00049643990448788151,-0.024556637568736203,23,11,0,1296.877394405325,0,1604,1491,-199.07857134564961,-271.62944275593765,0
