id,depth,weld,adm,px,py,dh,gt,gh,npool
1114,3,0,0,303.625,8.563749999999999,-0.3350425976614341,0.20551251946260862,0.02234460654280923,35
1117,4,1,0,21.6875,2.3370625,-0.0055554903390122035,0.0002266831811539305,-0.008257796240627613,69
1118,4,0,1,21.6875,3.4691874999999994,-0.1659573034042361,1.2273818591056624,2.186756809016515,167
1119,4,1,0,65.0625,3.4691874999999994,-0.4810448505159658,27.492937246133806,34.47217056507361,3645
1120,4,1,0,65.0625,2.3370625,-0.37196735335297554,0.2348841178834391,0.4711867001176415,70
1121,4,0,1,0.0,3.4691874999999994,-0.037370132692551794,0.07771143904415112,0.14458475877380295,249
1122,4,0,1,21.6875,2.9031249999999997,0.1104710974624224,0.23711314723766463,-0.21815513860383362,71
1123,4,0,1,0.0,2.3370625,-0.3274458219960103,0.1810621380412929,0.052652172596873825,20
1124,4,1,0,65.0625,4.6013125,-0.2745931541501196,20.208694222914346,3.1948469579729135,2348
1125,4,1,0,21.6875,4.6013125,-0.9526990021284278,73.78466869024851,98.74450914943736,2245
1126,4,1,0,21.6875,5.733437499999999,-0.4323042279555205,18.732428751576663,18.330959225811966,1491
1129,4,0,1,21.6875,5.167375,-0.844143284905135,89.03638483580289,84.58125312524498,3477
1130,4,0,1,0.0,4.6013125,-2.8882262223401773,12.44256410626705,15.325033067820982,61
1148,4,1,0,21.6875,4.03525,-0.7957383241036641,37.364423129110946,50.35291062935721,1132
1149,4,1,0,43.375,4.6013125,-0.7223751252933043,44.78525346863171,46.129974244278856,3175
1151,4,1,0,43.375,3.4691874999999994,-0.513882626492049,44.468795079999836,34.48221767626819,1797
1164,4,0,1,65.0625,2.9031249999999997,0.02890869539907251,-0.007846602108202205,0.187456012804887,139
1325,5,1,0,32.53125,3.18615625,-0.5332642066407389,1.639824649621005,1.8460491339646978,181
1326,5,0,1,10.84375,3.18615625,-0.12472188248492996,-0.19167324850195655,-0.27275435975798246,22
1327,5,0,1,10.84375,3.7522187499999995,0.7253161831741483,-0.968606716454218,-0.09298847862218906,16
1328,5,0,1,32.53125,3.7522187499999995,-1.2583721068050195,100.04174576111836,96.53162019235606,1384
1329,5,0,1,10.84375,2.9031249999999997,-0.43915603913876866,-0.14860978487286047,-0.515875026690992,41
1330,5,1,0,21.6875,3.18615625,0.06195235154564498,0.00916685699627351,-0.010164954781027191,10
1333,5,1,0,10.84375,2.6200937499999997,-0.15101807130123862,0.02343631711906724,0.005023005655221624,22
1344,5,1,0,32.53125,4.884343749999999,-0.9612730072399934,47.906057404085004,50.054797229553515,1290
1345,5,1,0,32.53125,4.31828125,-0.794083092894029,134.6465942198265,166.26233075244818,2648
1346,5,0,1,10.84375,4.31828125,-0.3701665102311676,1.810836566208991,1.7818788312117704,297
1347,5,1,0,10.84375,4.884343749999999,-0.5421940244953881,30.100804831778078,15.898494443776144,1899
1348,5,1,0,21.6875,4.884343749999999,-0.7791690605221553,98.6489284527488,84.75289921113654,1966
1349,5,0,1,0.0,3.7522187499999995,-0.26902083849072184,0.5058981633147823,0.5267390488424191,109
1350,5,0,1,10.84375,3.4691874999999994,-1.288824553220268,10.536173160069666,7.780042354548641,166
1351,5,1,0,0.0,3.18615625,-0.34601804669951386,0.1935179114998391,1.0281215248965054,81
1355,6,1,0,16.265625,3.6107031249999997,-0.06762387384404349,0.020225494632541086,0.0051627769080369035,35
1356,6,0,1,5.421875,3.6107031249999997,-0.00685688873756377,-0.014832224546239559,0.02515420056374751,225
1357,6,0,1,5.421875,3.8937343749999997,-0.3497834122481354,0.8717311324388817,0.24188349979418433,95
1358,5,1,0,10.84375,4.03525,-1.6153940005808598,24.474342495464953,32.402782246750576,200
1359,5,1,0,21.6875,4.31828125,-1.1111799525605086,23.415852127003745,25.134686205361504,671
1361,5,1,0,21.6875,3.7522187499999995,-1.278979940593597,3.4322191283627035,-0.9266952343646153,51
1362,6,0,1,16.265625,3.8937343749999997,-1.5043638302817672,2.919036129813435,-1.0942701875883358,32
1363,6,0,1,5.421875,3.4691874999999994,-0.8135652314241442,13.659500748020946,2.926591379553429,470
1364,6,0,1,10.84375,3.6107031249999997,-1.5951831229155726,2.7004656509097913,9.010696609511797,74
1366,6,1,0,16.265625,3.3276718749999996,-0.48282650099428726,0.3019980090968488,-0.24401418894833427,8
1368,6,0,1,5.421875,3.0446406249999995,-0.2119510693311776,0.05040603137695143,3.073685518912498,106
1369,6,0,1,5.421875,3.3276718749999996,-1.6382745755850936,5.233382156994821,7.988794176098509,67
1370,6,0,1,10.84375,3.3276718749999996,-1.1899586471129417,3.780756099262163,0.14652897506680063,17
1371,6,0,1,0.0,3.8937343749999997,-0.030216533619365438,0.028097670514902973,0.08308333675888235,114
1372,6,0,1,5.421875,3.7522187499999995,-1.1602679084358711,1.4614733828238684,-3.7246955106813573,112
1373,6,0,1,0.0,3.6107031249999997,0.2845818044307321,-0.22976018868892112,-0.2558202025982901,121
1394,7,0,1,8.1328125,3.8229765624999996,-4.458832274458054,23.974396479056168,29.785492705947348,34
1395,7,0,1,2.7109375,3.8229765624999996,-0.011227376434574063,0.004022910519523748,0.00024365379107393892,234
1396,7,0,1,2.7109375,3.9644921874999994,0.7629035040273361,-0.7907236785151674,-1.0186159966021293,63
1397,6,0,1,16.265625,4.459796874999999,-1.1891030615534055,34.807384303974686,49.641547716921195,855
1398,6,1,0,16.265625,4.176765625,-0.07173234076289997,0.0054005190998367425,-0.002040668490828068,8
1399,6,0,1,5.421875,4.176765625,-0.2805424157931467,0.3695251040657297,0.8815257424643725,49
1400,5,0,1,0.0,4.884343749999999,-0.6009169774428648,1.8338125842845443,2.565584527473959,144
1401,5,1,0,10.84375,4.6013125,-0.6394168738646608,30.144398565244046,34.25625511629187,1010
1402,5,0,1,0.0,4.31828125,2.8057926808664946,-0.8811748624720437,-1.8477719905959162,26
1403,6,0,1,5.421875,4.459796874999999,-0.5532207145275606,4.7596971532584575,7.81019887869229,560
1404,6,0,1,5.421875,4.03525,-1.3902108227240548,9.56340752947574,3.4735507227224787,88
1405,6,1,0,10.84375,4.176765625,-1.3280136784319188,4.044534734621436,-4.042178647593403,49
1406,6,1,0,16.265625,4.03525,-0.15518169600941645,0.10686763402827637,0.7316159227066237,30
1407,6,1,0,10.84375,3.8937343749999997,0.3450883055759898,0.268054262543842,-0.3353185644766157,38
1408,7,0,1,8.1328125,3.9644921874999994,-3.0028926972559105,51.94515846641934,26.931256521500018,104
1409,7,1,0,0.0,3.9644921874999994,-1.4108319960648854,2.947011752108973,1.3649306726216897,26
1410,7,0,1,2.7109375,3.8937343749999997,-0.581543395837357,0.8561214895001683,3.690421394336397,256
1412,7,1,0,8.1328125,3.6814609375,-0.7440383148130396,0.6222996178312599,-1.0274620396498904,27
1413,7,1,0,8.1328125,3.5399453124999996,-1.0774220834034787,15.57693606506382,8.689961465352098,182
1414,7,1,0,2.7109375,3.5399453124999996,-1.572716151215512,16.583527991666415,16.542056975604282,588
1415,7,0,1,2.7109375,3.6814609375,-0.6514180408833047,0.48507550838010616,0.7886904820927896,75
1416,7,1,0,0.0,3.6814609375,0.22382209942225634,0.05330393706858505,-0.02863022649651248,17
1417,7,1,0,2.7109375,3.6107031249999997,-0.2962275442252338,0.1805056361502011,0.4701119387528365,136
1418,7,0,1,0.0,3.5399453124999996,-0.07950204804668355,0.008834332080247975,0.07263989572410878,190
