mode,label,seed,total_admissions,window_admissions,deep_window_admissions,deep_window_faces,window_nonquadratic_rms_centi_logodds,outside_centered_rmse_centi_logodds,outside_weighted_correlation,outside_weighted_slope,final_faces,runtime_seconds
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",4,3,0,0,0,4.500179063165848,13.84203882480111,0.9925057088548684,0.9277106055946744,143,5.8
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",5,8,0,0,0,4.288767981879685,12.384547335381503,0.993034124297154,0.9563152886381089,164,13.31
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",6,2,0,0,0,3.3468606252734756,17.5512954713946,0.9868076767940509,0.9152684627272037,133,6.61
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",7,3,0,0,0,3.0718036955861523,15.385069331344965,0.9890541797955016,0.9508196938187015,139,7.53
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",8,3,0,0,0,3.131202302033573,13.009310770893167,0.9926928609705702,0.9448688107234917,147,11.34
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",9,4,0,0,0,3.958738541922908,16.15751941457251,0.9876727973375101,0.9480017313216117,154,11.83
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",10,2,0,0,0,2.3478138288061645,10.910913259822834,0.9945050064964578,0.9660350422183462,139,8.87
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",11,1,0,0,0,3.750130353738977,13.344474119534015,0.9920267106452599,0.9481031753978992,131,13.33
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",12,1,0,0,0,1.8914402330202442,13.623122678802352,0.991427941211404,0.9533492062396155,131,8.16
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",13,17,0,0,0,2.4755285787799135,14.133509579904212,0.9922473737504974,0.9245968366739565,261,15.66
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",14,1,0,0,0,1.8975567872186685,15.002054388603067,0.9910597995719199,0.9216059241783128,131,10.8
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",15,1,0,0,0,4.35754002429884,13.936905225007756,0.9916456854633062,0.9385223748602178,131,3.44
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",16,2,0,0,0,3.059572575057194,16.342465746297734,0.9903416929881322,0.9021825016268478,133,3.85
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",17,1,0,0,0,3.9559596012086113,13.679694332696998,0.991930122692287,0.9401077583449597,131,4.71
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",18,8,0,0,0,4.628666214003897,14.953021566758231,0.9913078764019495,0.9207708572533168,158,4.21
perm_bh_k4_q10,"Permutation BH, K_eff≥4, q=.10",19,3,0,0,0,4.677016967273731,16.42615259174584,0.9882604174746709,0.9274825807905865,141,4.16
perm_bh_k4_q15,"Permutation BH, K_eff≥4, q=.15",0,1,0,0,0,4.325987840266417,14.80396029200806,0.9899667481714826,0.9463759481329451,131,5.15
