gx,gy,wala,wac,g_hat,f_true
0.025,0.175,1.5,3.475,-723.1647199,-123.7287351
0.025,0.1916666667,1.5,3.558333333,-738.931335,-124.0949461
0.025,0.2083333333,1.5,3.641666667,-754.6979502,-121.5398461
0.025,0.225,1.5,3.725,-770.4645653,-115.8367379
0.025,0.2416666667,1.5,3.808333333,-763.9071289,-106.7263058
0.025,0.2583333333,1.5,3.891666667,-757.4336571,-94.19239178
0.025,0.275,1.5,3.975,-751.0441499,-78.87151634
0.025,0.2916666667,1.5,4.058333333,-743.5175855,-62.45075742
0.025,0.3083333333,1.5,4.141666667,-735.9910212,-47.72488494
0.025,0.325,1.5,4.225,-728.4644569,-37.97458489
0.025,0.3416666667,1.5,4.308333333,-720.9378926,-35.72093911
0.025,0.3583333333,1.5,4.391666667,-713.4113282,-41.52895231
0.025,0.375,1.5,4.475,-705.8847639,-53.71634533
0.025,0.3916666667,1.5,4.558333333,-673.6149809,-69.19494021
0.025,0.4083333333,1.5,4.641666667,-685.9945733,-84.80635109
0.025,0.425,1.5,4.725,-779.4941566,-98.29323424
0.025,0.4416666667,1.5,4.808333333,-834.5112487,-108.5439788
0.025,0.4583333333,1.5,4.891666667,-638.1657145,-115.3112531
0.025,0.475,1.5,4.975,-467.8030503,-118.7779362
0.025,0.4916666667,1.5,5.058333333,-462.408086,-119.2093582
0.025,0.5083333333,1.5,5.141666667,-571.1466626,-116.7533146
0.025,0.525,1.5,5.225,-586.6336056,-111.3627056
0.025,0.5416666667,1.5,5.308333333,-512.3674179,-102.8137319
0.025,0.5583333333,1.5,5.391666667,-484.7545157,-90.82711198
0.025,0.575,1.5,5.475,-427.0772869,-75.32571555
0.025,0.5916666667,1.5,5.558333333,-448.306506,-56.83207953
0.025,0.6083333333,1.5,5.641666667,-356.5307815,-36.88218167
0.025,0.625,1.5,5.725,-281.8909037,-18.14507043
0.025,0.6416666667,1.5,5.808333333,-264.6292527,-3.892372943
0.025,0.6583333333,1.5,5.891666667,-211.9451705,3.196037644
0.025,0.675,1.5,5.975,-181.3310273,2.283884681
0.025,0.6916666667,1.5,6.058333333,-115.9968784,-5.190157067
