x0,y0,h0,x1,y1,h1,x2,y2,h2,n_pts
0.0234375,0.654296875,-410.3157061,0.025390625,0.654296875,-164.4250157,0.0234375,0.65625,-419.9216721,2
0.0234375,0.654296875,-410.3157061,0.0234375,0.65234375,-340.2966198,0.025390625,0.654296875,-164.4250157,3
0.025390625,0.65625,-151.8927806,0.025390625,0.654296875,-164.4250157,0.0234375,0.65625,-419.9216721,16
0.025390625,0.65625,-151.8927806,0.02734375,0.65625,-201.9457936,0.025390625,0.654296875,-164.4250157,0
0.03125,0.6640625,-213.3788936,0.0390625,0.6640625,-219.1625659,0.03125,0.671875,-186.8407205,76
0.03125,0.6640625,-213.3788936,0.03125,0.65625,-239.9170667,0.0390625,0.6640625,-219.1625659,61
0.125,0.796875,-115.8716771,0.125,0.8125,-30.3416897,0.109375,0.796875,-57.36574533,2
0.1171875,0.7890625,-129.383705,0.125,0.796875,-115.8716771,0.109375,0.796875,-57.36574533,0
0.1171875,0.7890625,-129.383705,0.125,0.78125,-201.4016646,0.125,0.796875,-115.8716771,0
0.01171875,0.66015625,-80.43490184,0.015625,0.6640625,-122.4001317,0.0078125,0.6640625,-57.67425385,17
0.0234375,0.671875,-164.2227171,0.0234375,0.6796875,-195.6844909,0.03125,0.671875,-186.8407205,27
0.0234375,0.671875,-164.2227171,0.015625,0.671875,-141.6047136,0.0234375,0.6796875,-195.6844909,21
0.00390625,0.63671875,-20.09390764,0,0.6328125,174.261159,0.0078125,0.6328125,-170.1264197,7
0.00390625,0.62890625,-17.02119269,0,0.6328125,174.261159,0.0078125,0.6328125,-170.1264197,6
0.00390625,0.62890625,-17.02119269,0,0.625,-322.9350699,0,0.6328125,174.261159,3
0,0.63671875,14.7783038,0,0.6328125,174.261159,0.00390625,0.63671875,-20.09390764,6
0.03125,0.78125,46.63334273,0,0.8125,469.3224215,0.0625,0.8125,-93.21006775,56
0,0.78125,253.9772687,0.03125,0.78125,46.63334273,0,0.8125,469.3224215,15
0.078125,0.765625,-111.4138566,0.0625,0.75,-138.4379122,0.09375,0.75,-107.0037232,80
0.046875,0.6875,-170.0784184,0.0625,0.6875,-156.8990635,0.046875,0.703125,-168.0008702,21
0.09375,0.75,-107.0037232,0.125,0.75,-75.56953416,0.09375,0.71875,-116.2342988,173
0.10546875,0.78515625,-29.31233971,0.109375,0.7890625,-100.130739,0.1015625,0.7890625,-125.9941752,1
0.10546875,0.78515625,-29.31233971,0.109375,0.78125,-142.8957328,0.109375,0.7890625,-100.130739,6
0.0625,0.703125,-152.2837757,0.0625,0.6875,-156.8990635,0.046875,0.703125,-168.0008702,24
0.0390625,0.6796875,-122.7228944,0.046875,0.6875,-170.0784184,0.046875,0.671875,-198.4080651,33
0.0625,0.875,-44.42641512,0.0625,0.8125,-93.21006775,0,0.875,344.3432676,88
0.046875,0.7421875,-87.09595285,0.0546875,0.7421875,-123.118371,0.046875,0.75,-75.48415496,4
