id,x,y,height,new_height,depth,parent0,parent1,active,gate_admitted,free_coefficient,dormant_coefficient,retired_coefficient,conformity_origin,sigma_sq,delta_pooled,sigma_pooled,lambda_v,prior_mean,admit_a,current_n_points,current_fit_points,current_xTx,current_fit_xTx,current_keff
7372,0.001953125,0.509765625,-821.4276246,-421.9293675,9,6683,5939,0,0,0,0,0,0,1433.898761,382.5001377,1391.199309,2.140496161e-05,0,0,18,12,0.0006973993055,0.0006973993046,2.28515537
7373,0.001953125,0.513671875,-564.5601805,-564.5601805,9,6683,4428,1,1,1,0,0,1,30441.77877,165.2870869,18431.63221,2.140496161e-05,0,99.37019862,8,8,3.28495916e-05,3.28495916e-05,1.891549521
7374,0.01171875,0.51953125,-703.0427522,-784.8365088,8,4367,5785,0,0,0,0,0,0,466.7480094,-72.61638986,441.579733,0.000122112991,0,0,158,81,0.002142483695,0.002142483677,0.60705964
7375,0.00390625,0.51953125,-708.1809355,-708.1809355,8,5785,4428,1,0,0,0,0,1,370.4668846,0,0,0,0,0,64,33,0.002699296595,0.002699296588,0.3520473313
7376,0.00390625,0.52734375,-694.6225392,-694.6225392,8,5785,3865,1,1,1,0,0,1,9892.336217,-76.37979895,4480.259606,0.000122112991,0,53.57691823,35,35,0.0001010883555,0.0001010883555,4.29438855
7377,0.01171875,0.52734375,-644.8081215,-600.3595844,8,5785,4427,0,0,0,0,0,0,1156.057958,5.450143507,1013.046493,0.000122112991,0,0,223,107,0.0008650085348,0.0008650085137,0.2516807741
7378,0.00390625,0.515625,-745.5791966,-745.5791966,8,4428,5938,1,0,0,0,0,1,23241.76315,0,0,0,0,0,46,23,4.302599563e-05,4.302599237e-05,2.774837625
7379,0.0078125,0.51953125,-741.6829341,-456.7558799,8,5938,5785,0,0,0,0,0,0,188.9001567,252.1048398,184.6410123,0.000122112991,0,0,68,39,0.005293801856,0.005293801848,0.1221538431
7380,0.01171875,0.515625,-756.0378442,-748.9814167,8,5938,4367,0,0,0,0,0,0,3589.016805,0.2809405673,2495.378366,0.000122112991,0,0,80,45,0.00027862784,0.000278627831,8.733170474
7381,0.0078125,0.51171875,-774.4776165,-680.3173884,8,5938,5784,0,0,0,0,0,0,5976.468474,77.02261347,3454.996607,0.000122112991,0,0,35,19,0.0001673228938,0.0001673228876,2.806368814
7382,0.005859375,0.513671875,-803.8979122,-594.9671264,9,6683,5938,0,0,0,0,0,0,15633.81213,166.3708551,11713.86942,2.140496161e-05,0,0,9,4,6.396392585e-05,6.396392492e-05,0.7561643244
7383,0.58984375,0.640625,184.1444213,200.0302339,8,4379,6737,0,0,0,0,0,0,5286.804693,19.16414644,3212.715571,0.000122112991,0,0,7,3,0.0001891501688,0.0001891501681,0.4811547998
7384,0.5859375,0.63671875,146.8173587,98.13324297,8,6737,5015,0,0,0,0,0,0,53052.93721,-46.20273063,7094.106003,0.000122112991,0,0,5,1,1.884909776e-05,1.884909684e-05,0.08137372122
7385,0.58203125,0.640625,168.1885582,165.1296655,8,6737,4287,0,0,0,0,0,0,3.914729751e+11,-2.333107659e-06,8189.136725,0.000122112991,0,0,4,0,2.554454748e-12,0,2.554454748
7386,0.58984375,0.65234375,201.0726328,193.9504009,8,3560,5014,0,0,0,0,0,0,8.691636666,-7.098441505,8.682421476,0.000122112991,0,0,628,291,0.1150531296,0.1150531295,48.73168214
